sampleid,sampleid,population,sex,timepoint,bird,flock
#q2:types,#q2:types,categorical,categorical,categorical,categorical,categorical
41_S254_L001,41_S254_L001,migratory,male,D,BIRD10,migratorymale
50_S144_L001,50_S144_L001,resident,female,D,BIRD26,residentfemale
57_S153_L001,57_S153_L001,resident,male,D,BIRD20,residentmale
72_S206_L001,72_S206_L001,resident,male,D,BIRD16,residentmale
90_S107_L001,90_S107_L001,migratory,male,D,BIRD11,migratorymale
94_S278_L001,94_S278_L001,migratory,female,D,BIRD01,migratoryfemale
119_S106_L001,119_S106_L001,migratory,male,D,BIRD07,migratorymale
122_S207_L001,122_S207_L001,migratory,female,D,BIRD02,migratoryfemale
133_S265_L001,133_S265_L001,migratory,male,D,BIRD09,migratorymale
165_S230_L001,165_S230_L001,migratory,female,D,BIRD03,migratoryfemale
176_S154_L001,176_S154_L001,resident,male,D,BIRD15,residentmale
208_S177_L001,208_S177_L001,resident,female,D,BIRD21,residentfemale
210_S336_L001,210_S336_L001,resident,female,D,BIRD24,residentfemale
220_S155_L001,220_S155_L001,resident,male,D,BIRD19,residentmale
236_S241_L001,236_S241_L001,resident,female,D,BIRD25,residentfemale
252_S179_L001,252_S179_L001,resident,female,D,BIRD22,residentfemale
260_S178_L001,260_S178_L001,migratory,female,D,BIRD04,migratoryfemale
281_S130_L001,281_S130_L001,migratory,female,D,BIRD06,migratoryfemale
282_S217_L001,282_S217_L001,resident,male,D,BIRD18,residentmale
306_S120_L001,306_S120_L001,resident,male,D,BIRD17,residentmale
331_S131_L001,331_S131_L001,migratory,female,D,BIRD05,migratoryfemale
332_S105_L001,332_S105_L001,migratory,male,D,BIRD08,migratorymale
361_S168_L001,361_S168_L001,migratory,male,D,BIRD12,migratorymale
368_S129_L001,368_S129_L001,resident,female,D,BIRD23,residentfemale